,17432
himekaidou_hatate,121
ganaha_hibiki,113
yoko_littner,113
shijou_takane,113
kasodani_kyouko,112
suzuya_(kantai_collection),112
ryuujou_(kantai_collection),110
inazuma_(kantai_collection),108
gokou_ruri,107
minase_iori,106
kousaka_tamaki,106
murasa_minamitsu,103
kisaragi_chihaya,102
kurodani_yamame,102
yorha_no._2_type_b,102
oshino_shinobu,101
yamato_(kantai_collection),100
d.va_(overwatch),100
amatsukaze_(kantai_collection),99
kashiwazaki_sena,98
c.c.,98
minami_kotori,98
takagaki_kaede,97
morrigan_aensland,97
holo,96
kotobuki_tsumugi,95
shielder_(fate/grand_order),95
ushio_(kantai_collection),94
amami_haruka,92
hirasawa_yui,92
daiyousei,91
tifa_lockhart,91
northern_ocean_hime,89
rensouhou-chan shimakaze_(kantai_collection),89
hiiragi_kagami,89
chun-li,88
toramaru_shou,87
akashi_(kantai_collection),86
kaku_seiga,86
clownpiece,85
takatsuki_yayoi,84
fubuki_(kantai_collection),84
shirasaka_koume,84
hieda_no_akyuu,83
izumi_sagiri,83
kanzaki_ranko,82
sheryl_nome,81
hibiki_(kantai_collection) verniy_(kantai_collection),81
gumi,81
ro-500_(kantai_collection),80
ex-keine kamishirasawa_keine,80
letty_whiterock,80
yuzuriha_inori,80
louise_francoise_le_blanc_de_la_valliere,79
taihou_(kantai_collection),79
takao_(kantai_collection),78
ikazuchi_(kantai_collection),78
miyako_yoshika,78
hatsune_miku hatsune_miku_(append),77
wo-class_aircraft_carrier,77
tainaka_ritsu,77
kousaka_kirino,77
i-401_(kantai_collection),75
caster_(fate/extra),75
stocking_(psg),75
wakasagihime,74
ikamusume,73
ryuuguu_rena,73
tenshi_(angel_beats!),73
bismarck_(kantai_collection),73
kinomoto_sakura,73
inkling,72
asakura_ryouko,71
mutsu_(kantai_collection),71
izumi_konata,71
ayase_eli,70
hatsune_miku sakura_miku,69
miura_azusa,69
takamachi_nanoha,69
sagisawa_fumika,69
samus_aran,68
nagato_(kantai_collection),68
cammy_white,68
aisaka_taiga,67
sonoda_umi,66
sukuna_shinmyoumaru,66
hagiwara_yukiho,65
asahina_mikuru,65
rider,65
dizzy,64
scathach_(fate/grand_order),64
akagi_(kantai_collection),64
ahri,64
i-19_(kantai_collection),64
sendai_(kantai_collection),64
kijin_seija,63
graf_zeppelin_(kantai_collection),63
kousaka_honoka,63
shoukaku_(kantai_collection),62
koizumi_hanayo,62
unryuu_(kantai_collection),62
hoshizora_rin,62
yowane_haku,62
ia_(vocaloid),62
nia_teppelin,61
akatsuki_(kantai_collection),61
ryougi_shiki,61
takanashi_rikka,60
noumi_kudryavka,60
jougasaki_mika,59
nitta_minami,59
saber_extra,59
shiranui_mai,59
mikasa_ackerman,58
yuzuki_yukari,58
shimamura_uzuki,58
anegasaki_nene,58
mercy_(overwatch),58
yagami_hayate,57
makinami_mari_illustrious,57
lunasa_prismriver,57
akebono_(kantai_collection),57
matou_sakura,56
akizuki_ritsuko,56
makoto_nanaya,56
yukikaze_(kantai_collection),55
nagi,55
anastasia_(idolmaster),55
asashio_(kantai_collection),55
senjougahara_hitagi,55
otonashi_kotori,54
kasumi_(doa),54
anchovy,54
hiiragi_tsukasa,54
zuihou_(kantai_collection),54
kamio_misuzu,53
cure_peace kise_yayoi,53
sekibanki,53
makise_kurisu,53
matoi_ryuuko senketsu,53
zuikaku_(kantai_collection),53
z3_max_schultz_(kantai_collection),53
junko_(touhou),52
houshou_(kantai_collection),52
shiranui_(kantai_collection),52
saber saber_alter,52
urakaze_(kantai_collection),52
souryuu_(kantai_collection),52
kaname_madoka ultimate_madoka,52
futaba_anzu,51
kooh,51
raising_heart takamachi_nanoha,51
akitsu_maru_(kantai_collection),51
honma_meiko,51
tatsuta_(kantai_collection),51
kallen_stadtfeld,51
illyasviel_von_einzbern,50
souseiseki,50
iowa_(kantai_collection),50
perrine_h_clostermann,50
saber saber_lily,50
shirai_kuroko,50
sendai_hakurei_no_miko,50
shirogane_naoto,50
jeanne_alter ruler_(fate/apocrypha),50
maekawa_miku,49
isokaze_(kantai_collection),49
megumin,49
meiko,49
djeeta_(granblue_fantasy),49
musashi_(kantai_collection),49
ruler_(fate/apocrypha),48
bardiche fate_testarossa,48
yuubari_(kantai_collection),48
konjiki_no_yami,48
soga_no_tojiko,47
charlotte_dunois,47
fujibayashi_kyou,47
seaport_hime,46
asuna_(sao),46
hoshino_fumina,46
han_juri,46
usami_renko,46
hecatia_lapislazuli,45
aki_minoriko,45
nami_(one_piece),45
tokitsukaze_(kantai_collection),44
koshimizu_sachiko,44
furude_rika,44
naka_(kantai_collection),44
suiseiseki,44
sanya_v_litvyak,44
noel_vermillion,44
futatsuiwa_mamizou,44
hatsune_miku yuki_miku,44
alice_(wonderland),44
akemi_homura akuma_homura,44
samidare_(kantai_collection),43
riesz,43
sengoku_nadeko,43
taigei_(kantai_collection),43
alisa_ilinichina_amiella,43
shuten_douji_(fate/grand_order),42
sazanami_(kantai_collection),42
kirishima_(kantai_collection),42
ooyodo_(kantai_collection),42
tracer_(overwatch),42
felicia,41
maya_(kantai_collection),41
hayami_kanade,41
ichinose_shiki,41
kitakami_(kantai_collection),40
etna,40
mithra,40
bayonetta_(character),40
shinku,40
komaki_manaka,40
lilith_aensland,40
sakura_saber,40
jougasaki_rika,39
shokuhou_misaki,39
nanasaki_ai,39
elin_(tera),38
kusugawa_sasara,38
katsura_hinagiku,38
miqo'te,38
shidare_hotaru,38
saber_bride saber_extra,38
danua,37
mimura_kanako,37
charlotte_e_yeager,37
yin,37
arcueid_brunestud,37
kasumi_(pokemon),37
tokisaki_kurumi,37
kanna_kamui,37
satonaka_chie,37
ranka_lee,37
hyuuga_hinata,37
kisume,36
z1_leberecht_maass_(kantai_collection),36
touwa_erio,36
hanekawa_tsubasa,36
takara_miyuki,36
isuzu_(kantai_collection),36
maou_(maoyuu),36
sento_isuzu,36
kyonko,35
yuuki_mikan,35
haguro_(kantai_collection),35
shana,35
aegis_(persona),35
narumeia_(granblue_fantasy),35
kiso_(kantai_collection),35
i-58_(kantai_collection),35
roll,35
totoki_airi,35
anjou_naruko,34
kasumi_(kantai_collection),34
kiyoshimo_(kantai_collection),34
watanabe_you,34
u-511_(kantai_collection),34
aki_shizuha,34
angela_balzac,33
aragaki_ayase,33
kafuu_chino,33
selvaria_bles,33
darjeeling,33
kasugano_sakura,33
miyafuji_yoshika,33
madotsuki,33
vivio,33
hiryuu_(kantai_collection),33
princess_peach,33
beatrice,33
erica_hartmann,32
leafa,32
lily_white,32
kishin_sagume,32
agano_(kantai_collection),32
lum,32
nishizumi_maho,32
lynette_bishop,32
murasame_(kantai_collection),31
uzuki_(kantai_collection),31
laura_bodewig,31
ingrid,31
francesca_lucchini,31
serval_(kemono_friends),31
saten_ruiko,31
i-26_(kantai_collection),31
princess_zelda,31
lancer_(fate/extra_ccc),31
houjou_satoko,31
re-class_battleship,31
eila_ilmatar_juutilainen,31
touko_(pokemon),30
lillie_(pokemon),30
motoori_kosuzu,30
chitanda_eru,30
tsuruya,30
honda_mio,29
rydia,29
shinki,29
akiyama_yukari,29
ushiromiya_ange,29
doremy_sweet,29
sakuma_mayu,29
high_priest,29
emilia_(re:zero),29
akaza_akari,29
mumei_(kabaneri),29
sorceress_(dragon's_crown),29
kawakami_mai,28
haruno_sakura,28
medicine_melancholy,28
ibuki_fuuko,28
ichinose_kotomi,28
satsuki_(kantai_collection),28
yuzuhara_konomi,28
hino_akane_(smile_precure!),28
kuujou_jolyne,28
aoki_reika cure_beauty,28
kamitsure_(pokemon),28
tatsumaki,28
kobayakawa_rinko,28
seiran_(touhou),28
yamashiro_(kantai_collection),28
yahagi_(kantai_collection),28
nu-13,27
mima,27
hiei_(kantai_collection),27
sonozaki_shion,27
amatsukaze_(kantai_collection) rensouhou-kun,27
kiryuuin_satsuki,27
amagi_yukiko,27
jakuzure_nonon,27
iori_rinko,27
kumano_(kantai_collection),27
kisaragi_(kantai_collection),27
horikawa_raiko,27
hatsuzuki_(kantai_collection),27
haramura_nodoka,27
shirona_(pokemon),27
i-8_(kantai_collection),26
sonozaki_mion,26
momo_velia_deviluke,26
aerith_gainsborough,26
makoto_(street_fighter),26
ferry_(granblue_fantasy),26
vita,26
lucina,26
taneshima_popura,26
hanyuu,26
mika_(girls_und_panzer),26
clarisse_(granblue_fantasy),26
sailor_moon tsukino_usagi,26
mogami_(kantai_collection),26
mei_(pokemon),26
merlin_prismriver,26
miyamoto_frederica,26
elsa_(frozen),26
sf-a2_miki,26
mei_(overwatch),26
cagliostro_(granblue_fantasy),26
aqua_(konosuba),25
gasai_yuno,25
tachibana_arisu,25
black_hanekawa hanekawa_tsubasa,25
kiss-shot_acerola-orion_heart-under-blade,25
sakamoto_mio,25
hirasawa_ui,25
kirigaya_suguha,25
ginga_nakajima,25
hatsuyuki_(kantai_collection),25
lili_(tekken),25
nishizumi_miho,25
kotonomiya_yuki,25
harime_nui,25
priest_(ragnarok_online),25
kanbaru_suruga,25
warspite_(kantai_collection),25
sakagami_tomoyo,25
maribel_hearn,25
ramlethal_valentine,25
matoi_ryuuko,25
libeccio_(kantai_collection),25
xp-tan,25
kise_yayoi,25
cecilia_alcott,25
kumoi_ichirin,24
yang_xiao_long,24
harusame_(kantai_collection),24
abukuma_(kantai_collection),24
nadia,24
aozaki_aoko,24
oikawa_shizuku,24
teruzuki_(kantai_collection),24
widowmaker_(overwatch),24
kirin_(armor),24
ayane_(doa),24
yamada_aoi,24
dark_magician_girl,24
sazaki_kaoruko,24
kan'u_unchou,24
kotegawa_yui,24
tone_(kantai_collection),24
tina_branford,24
jintsuu_(kantai_collection),24
super_pochaco,24
luna_child,24
graf_eisen vita,24
choukai_(kantai_collection),23
katou_megumi,23
saratoga_(kantai_collection),23
tokiko_(touhou),23
zessica_wong,23
futami_mami,23
morishima_haruka,23
cure_sword kenzaki_makoto,23
regina_(dokidoki!_precure),23
itsumi_erika,23
sonohara_anri,23
kujikawa_rise,23
sakurai_momoka,23
hayasui_(kantai_collection),23
asamiya_athena,23
furukawa_nagisa,23
signum,23
lunamaria_hawke,23
hachikuji_mayoi,23
ashigara_(kantai_collection),23
sansei_muramasa,23
fusou_(kantai_collection),23
naganami_(kantai_collection),23
cure_marine kurumi_erika,23
ooi_(kantai_collection),23
yuugumo_(kantai_collection),23
gertrud_barkhorn,23
arima_senne,23
wang_liu_mei,23
star_sapphire,23
galko,22
sage_(dq3),22
yuno,22
meer_campbell,22
princess_of_the_crystal takakura_himari,22
ruby_rose,22
reinforce,22
kuriyama_mirai,22
kasugano_sora,22
meltlilith,22
midorikawa_nao,22
kuma_(kantai_collection),22
usada_hikaru,22
kino,22
hikari_(pokemon),22
hayashimo_(kantai_collection),22
takebe_saori,22
cure_sunshine myoudouin_itsuki,22
kirigiri_kyouko,22
kusanagi_motoko,22
camilla_(fire_emblem_if),22
amanogawa_kirara,22
revy_(black_lagoon),22
sanzen'in_nagi,22
kirima_sharo,22
hoshino_ruri,21
millia_rage,21
jun'you_(kantai_collection),21
sona_buvelle,21
taokaka,21
serena_(pokemon),21
platinum_the_trinity,21
hyuuga_(kantai_collection),21
seeu,21
shihouin_yoruichi,21
vira,21
kuradoberi_jam,21
jill_valentine,21
kagura_(gintama),21
cure_march midorikawa_nao,21
agrias_oaks,21
yamakaze_(kantai_collection),21
enma_ai,21
index,21
houjou_karen,21
okazaki_yumemi,21
takagi_(tansuke),21
caren_hortensia,21
menou_kaname,21
3.1-tan,21
toshinou_kyouko,21
junketsu kiryuuin_satsuki,21
lei_lei,21
bottle_miku hatsune_miku,21
android_18,20
kohinata_miho,20
gwendolyn,20
mao_(pokemon),20
archbishop,20
kokonoe_rin,20
araragi_karen,20
tsukumo_benben,20
chloe_von_einzbern,20
tanigawa_kanna,20
nyarlathotep_(nyaruko-san),20
sakurauchi_riko,20
nico_robin,20
xenovia_(high_school_dxd),20
lyrica_prismriver,20
noire,20
tedeza_rize,20
shinomiya_himawari,20
emperor_penguin_(kemono_friends),20
houjou_hibiki,20
kuroshio_(kantai_collection),20
yuigahama_yui,20
hibari_(senran_kagura),20
shimazu_yoshino,20
belldandy,20
tharja,20
poison_(final_fight),20
korra,20
shirakiin_ririchiyo,19
akizuki_(kantai_collection),19
jeanne_alter jeanne_alter_(santa_lily)_(fate) ruler_(fate/apocrypha),19
shantae_(character),19
caster_(fate/extra) tamamo_no_mae_(swimsuit_lancer)_(fate),19
tsushima_yoshiko,19
kero kinomoto_sakura,19
blanc,19
dead_master,19
cure_happy hoshizora_miyuki,19
lavolpe_(yagisaka_seto),19
toujou_koneko,19
mizuno_ami sailor_mercury,19
pola_(kantai_collection),19
umikaze_(kantai_collection),19
saya,19
pixiv-tan,19
caster,19
alice_margatroid alice_margatroid_(pc-98),19
kazama_asuka,19
2k-tan,19
mikuma_(kantai_collection),19
pod_(nier_automata) yorha_no._2_type_b,19
aoba_(kantai_collection),19
kusakabe_misao,19
akagi_miria,19
narusawa_ryouka,18
tateyama_ayano,18
furudo_erika,18
lightning_farron,18
princess_serenity tsukino_usagi,18
toono_akiha,18
kohaku,18
hanna-justina_marseille,18
enoshima_junko,18
vampy,18
maka_albarn,18
shinon_(sao),18
haruka_(pokemon),18
usami_sumireko,18
natalia_(idolmaster),18
mizusawa_mao,18
ene_(kagerou_project),18
sailor_saturn tomoe_hotaru,18
sunny_milk,18
reinforce_zwei,18
araragi_tsukihi,18
chiki,18
yui_(angel_beats!),18
cure_sunny hino_akane_(smile_precure!),18
irisviel_von_einzbern,18
cure_rosetta yotsuba_alice,18
lusamine_(pokemon),18
tsukimiya_ayu,18
kirijou_mitsuru,18
araiguma-san,18
christa_renz,18
arashio_(kantai_collection),18
arancia,18
yukine_chris,18
shikinami_(kantai_collection),18
yayoi_(kantai_collection),18
minase_akiko,18
cure_honey oomori_yuuko,18
nao_(mabinogi),18
hagikaze_(kantai_collection),18
ana_coppola,17
nibutani_shinka,17
yamagishi_fuuka,17
tanamachi_kaoru,17
kuroyukihime,17
yuffie_kisaragi,17
kamikaze_(kantai_collection),17
ciel,17
rias_gremory,17
kay_(girls_und_panzer),17
huang_baoling,17
ranma-chan saotome_ranma,17
marie_rose,17
moroboshi_kirari,17
c.c._lemon_(character),17
frederica_bernkastel,17
klan_klein,17
tokiha_mai,17
tooru_(maidragon),17
asuka_(senran_kagura),17
yuna_(ff10),17
watatsuki_no_yorihime,17
kagerou_(kantai_collection),17
arin,17
katyusha,17
yukishiro_honoka,17
kasumigaoka_utaha,17
rosa_farrell,17
amazon_(dragon's_crown),17
kozakura_marry,17
eve_(elsword),17
hino_akane_(idolmaster),17
amagi_(kantai_collection),17
shoebill_(kemono_friends),17
morgiana,17
moriya_suwako pyonta,16
tsunade,16
mankanshoku_mako,16
hisui,16
melona,16
beatrix_(granblue_fantasy),16
chaika_trabant,16
izayoi_aki,16
mutsuki_(kantai_collection),16
nymph_(sora_no_otoshimono),16
kunikida_hanamaru,16
tamura_manami,16
little_red_riding_hood_(grimm),16
heroine_x heroine_x_(alter) saber,16
rosetta_(mario),16
iroha_(samurai_spirits),16
minamoto_chizuru,16
nekomusume,16
littorio_(kantai_collection),16
kirakishou,16
kanzaki_kaori,16
scathach_(fate/grand_order) scathach_(swimsuit_assassin)_(fate),16
asashimo_(kantai_collection),16
kino_makoto sailor_jupiter,16
tomoe_hotaru,16
ms._fortune_(skullgirls),16
meiko_(inuarashi),16
alena_(dq4),16
suou_pavlichenko,16
noshiro_(kantai_collection),16
feldt_grace,16
yukikaze_panettone,16
i-168_(kantai_collection),16
caster_(fate/extra) tamamo_cat_(fate/grand_order),16
kurugaya_yuiko,16
tsubaki_yayoi,16
nanami_chiaki,16
shampoo_(ranma_1/2),16
black_heart noire,16
female_protagonist_(pokemon_go),16
kasuga_ayumu,16
inami_mahiru,16
ikaruga_(senran_kagura),16
rainbow_mika,16
angel_(kof),16
nakoruru,15
natsume_rin,15
yumeko,15
haku_(p&d),15
shirayuki_hime,15
kos-mos,15
judith,15
grayfia_lucifuge,15
eureka,15
toudou_shimako,15
minato_tomoka,15
milfeulle_sakuraba,15
kuroki_tomoko,15
feena_fam_earthlight,15
cure_melody houjou_hibiki,15
the_order_grande,15
mu-12,15
ishtar_(fate/grand_order) toosaka_rin,15
majikina_mina,15
ushiromiya_maria,15
ise_(kantai_collection),15
miyaura_sanshio,15
female_protagonist_(persona_3),15
sabitsuki,15
passion_lip,15
kawazoe_tamaki,15
isonami_(kantai_collection),15
rikku,15
re_mii,15
kasane_teto,15
kamikita_komari,15
hatsuharu_(kantai_collection),15
cure_moonlight tsukikage_yuri,15
helena_blavatsky_(fate/grand_order),15
ayase_yue,15
soldier_(dq3),15
yukinoshita_yukino,15
takao_(aoki_hagane_no_arpeggio),15
victorica_de_blois,15
hoshi_shouko,15
ex-rumia rumia,15
len,15
japanese_crested_ibis_(kemono_friends),15
isolated_island_oni,15
amae_koromo,15
cure_peach momozono_love,15
manya,15
me-tan,15
jack-o_(guilty_gear),15
shinonono_houki,15
makigumo_(kantai_collection),15
asia_argento,15
astaroth_(shinrabanshou),15
tomori_nao,15
ibuki_(street_fighter),14
sonsaku_hakufu,14
lina_inverse,14
elena_(street_fighter),14
misaki_mei,14
elf_(dragon's_crown),14
sasaki_chiho,14
ryuuhou_(kantai_collection) taigei_(kantai_collection),14
shalon,14
mukai_takumi,14
kyon kyonko,14
maria_(hayate_no_gotoku!),14
baiken,14
takane_manaka,14
yuel_(granblue_fantasy),14
harukaze_(kantai_collection),14
cattleya,14
merry_nightmare,14
miyazaki_nodoka,14
katori_(kantai_collection),14
neptune_(choujigen_game_neptune),14
isabella_valentine,14
dekomori_sanae,14
revolver_knuckle subaru_nakajima,14
fuuro_(pokemon),14
quetzalcoatl_(maidragon),14
electro_emilia,14
cure_diamond hishikawa_rikka,14
busujima_saeko,14
katsuragi_misato,14
rachel_alucard,14
pepperoni_(girls_und_panzer),14
zeta_(granblue_fantasy),14
ootsuki_yui,14
toudou_yurika,14
yumi_(senran_kagura),14
kisaragi_momo,14
ringo_(touhou),14
lyn_(blade_&_soul),14
boudica_(fate/grand_order),14
amanogawa_kirara cure_twinkle,14
cham_cham,14
alicia_florence,14
midna,14
lucy_heartfilia,14
eas higashi_setsuna,14
ellen_baker,14
kos-mos kos-mos_ver._4,14
haman_karn,14
katarina_du_couteau,14
cure_muse_(yellow) shirabe_ako,14
weiss_schnee,14
abe_nana,14
airi_(queen's_blade),14
kula_diamond,14
kaine_(nier),14
neptune_(choujigen_game_neptune) purple_heart,13
nanael,13
sherlock_shellingford,13
kamiya_nao,13
himejima_akeno,13
aino_megumi cure_lovely,13
chitose_(kantai_collection),13
kagurazaka_asuna,13
may_(guilty_gear),13
imaichi_moenai_ko,13
jinx_(league_of_legends),13
airfield_hime,13
morikubo_nono,13
aty_(summon_night),13
kudelia_aina_bernstein,13
sakura_chiyo,13
nishizumi_shiho,13
anceril_sacred,13
shiina_mashiro,13
celes_chere,13
lucy_maria_misora,13
yumizuka_satsuki,13
yamagishi_yukako,13
mizuho_(kantai_collection),13
power_girl,13
euphemia_li_britannia,13
tron_bonne,13
reisen,13
mizutani_eri,13
minna-dietlinde_wilcke,13
mifune_miyu,13
kohaku_(yua),13
rory_mercury,13
tanya_degurechaff,13
hoshizora_ikuyo,13
boa_hancock,13
elphelt_valentine,13
sylvie_(dorei_to_no_seikatsu),13
amasawa_yuuko,13
rinpoo_chuan,13
suiren_(pokemon),13
jessica_albert,13
manabe_nodoka,13
sasasegawa_sasami,13
kurumi_erika,13
endou_saya_(dagashi_kashi),13
oomori_yuuko,13
pharah_(overwatch),13
silica,13
mai_natsume,13
yura_(kantai_collection),13
yomiko_readman,13
blue_rose_(tiger_&_bunny) karina_lyle,13
chii,13
shidou_irina,13
evangeline_a_k_mcdowell,13
cassandra_alexandra,13
shinonome_nano,13
marina_ismail,13
komori_kiri,13
sara_(granblue_fantasy),13
iwakura_lain,13
alice_margatroid hourai_doll shanghai_doll,13
aloe_(quiz_magic_academy),13
nanao_yuriko,13
leviathan_(skullgirls) squigly_(skullgirls),13
ichihara_nina,13
lyndis_(fire_emblem),13
sailor_moon super_sailor_moon tsukino_usagi,13
manaka_lala,12
akita_neru,12
hoto_cocoa,12
ogata_chieri,12
battleship_hime,12
shimada_arisu,12
tsukumo_yatsuhashi,12
igarashi_kyouko,12
palutena,12
luo_tianyi,12
oshino_ougi,12
sen_(granblue_fantasy),12
mikazuki_yozora,12
kamizaki_risa,12
mizunashi_akari,12
celestia_ludenberck,12
schwertkreuz yagami_hayate,12
pachira,12
maru-yu_(kantai_collection),12
altera_(fate),12
kawashima_mizuki,12
misumi_nagisa,12
kuchiki_rukia,12
grey_wolf_(kemono_friends),12
otonashi_saya,12
mint_blancmanche,12
suzukaze_(kantai_collection),12
kagari_atsuko,12
minamoto_no_raikou_(fate/grand_order),12
kumashiro_maya,12
saigusa_haruka,12
heles,12
black_gold_saw,12
akitsushima_(kantai_collection),12
aizawa_sakuya,12
yamada_elf,12
soma_peries,12
miyamoto_musashi_(fate/grand_order),12
shanghai_doll,12
ooba_minori,12
kotona_elegance,12
hakurei_reimu kirisame_marisa,12
yuri_sakazaki,12
tada_riina,12
zarya_(overwatch),12
ayanami_(kantai_collection),12
karin_(p&d),12
blue_(pokemon),12
aircraft_carrier_hime,12
minase_nayuki,12
ujimatsu_chiya,12
tsutsukakushi_tsukiko,12
temari,12
megurine_luka megurine_luka_(toeto),12
destroyer_hime,12
koiwai_yotsuba,12
bb_(fate/extra_ccc),12
matoi_(pso2),12
nena_trinity,12
miki_sayaka oktavia_von_seckendorff,12
alleyne_(queen's_blade),12
hatsukaze_(kantai_collection),12
kirisaki_chitoge,12
mochizuki_(kantai_collection),12
rio_rollins,12
daidouji_tomoyo,12
kurosawa_ruby,12
fuura_kafuka,12
kurosaki_mea,12
hishikawa_rikka,12
canal_vorfeed,12
bullet_(blazblue),12
bastet_(p&d),12
gardevoir,12
bulma,12
matsuura_kanan,12
lindy_harlaown,12
medicine_melancholy su-san,12
villetta_nu,12
boko_(girls_und_panzer) shimada_arisu,12
minakami_mai,11
suzuki_jun,11
hasegawa_kobato,11
matsumoto_rangiku,11
sasaki_chie,11
erza_scarlet,11
tanaka_asuka,11
yuki_onna_(nurarihyon_no_mago),11
princess_of_moonbrook,11
arnval,11
rasis,11
aori_(splatoon),11
katsuragi_(senran_kagura),11
shiratsuyu_(kantai_collection),11
albedo,11
kujou_karen,11
blake_belladonna,11
kako_(kantai_collection),11
aoki_reika,11
sawamura_spencer_eriri,11
karura_(utawareru_mono),11
uni_(choujigen_game_neptune),11
twilight_sparkle,11
lenalee_lee,11
matsudaira_touko,11
anabuki_tomoko,11
dark_sakura matou_sakura,11
princess_daisy,11
hino_rei sailor_mars,11
kiriya_aoi,11
miyamizu_mitsuha,11
shamu_meruruusa,11
winry_rockbell,11
kitazawa_shiho,11
asakaze_(kantai_collection),11
otonashi_kiruko,11
heroine_x saber,11
isayama_yomi,11
himeragi_yukina,11
bianca,11
michishio_(kantai_collection),11
oyashio_(kantai_collection),11
reizei_mako,11
aruruw,11
eva_beatrice,11
natsume_(pokemon),11
amaha_masane,11
momoe_nagisa,11
ebina_nana,11
nikka_edvardine_katajainen,11
cure_beat kurokawa_eren seiren_(suite_precure),11
isshiki_iroha,11
shirayuki_(kantai_collection),11
megurine_luka takoluka,11
kawashima_ami,11
kafuu_chino tippy_(gochiusa),11
kanno_naoe,11
shiina_mayuri,11
lily_(vocaloid),11
cure_passion higashi_setsuna,11
kobushi_abiru,11
shinon_(sao) shinon_(sao-alo),11
izuna_(shinrabanshou),11
misaka_imouto,11
jakuri,11
caro_ru_lushe,11
nagatsuki_(kantai_collection),11
ononoki_yotsugi,11
tenma_gabriel_white,11
barasuishou,11
sherry_birkin,11
kinugasa_(kantai_collection),11
nepgear,11
edna_(tales),11
nerine,11
inoue_orihime,11
elizabeth_(persona),11
shermie,11
teana_lanster,11
sophie_(tales),11
kuga_natsuki,11
subaru_nakajima,11
nakano_yuka,11
sakuya_(p&d),11
bikko,11
female_my_unit_(fire_emblem_if) my_unit_(fire_emblem_if),11
katou_keiko,11
nowaki_(kantai_collection),10
curse_maker,10
florence_nightingale_(fate/grand_order),10
kaban_(kemono_friends),10
akigumo_(kantai_collection),10
al_azif,10
misaka_shiori,10
chikuma_(kantai_collection),10
yuri_(angel_beats!),10
nitocris_(fate/grand_order),10
ohara_mari,10
moonlight_flower,10
matsuri_(teriyaki),10
linne,10
female_admiral_(kantai_collection),10
itou_noemi,10
tsukahara_hibiki,10
kirisame_marisa patchouli_knowledge,10
cerebella_(skullgirls) vice-versa_(skullgirls),10
tianzi,10
elizabeth_liones,10
maikaze_(kantai_collection),10
cure_rhythm minamino_kanade,10
kamoi_(kantai_collection),10
shiomi_shuuko,10
tachibana_miya,10
cinia_pacifica,10
tachibana_himeko,10
takamori_aiko,10
igawa_asagi,10
cure_flora haruno_haruka,10
panty_(psg),10
mary_stuart,10
ayase_fuuka,10
kochiya_sanae pyonta,10
zange,10
oboro_(kantai_collection),10
levantine signum,10
kiyohime_(fate/grand_order),10
andou_mahoro,10
itoshiki_rin,10
assassin_of_black,10
asseylum_vers_allusia,10
chikage_(sister_princess),10
amayadori_machi,10
iri_flina,10
yonomori_kobeni,10
isshiki_akane,10
satake_minako,10
chi-chi_(dragon_ball),10
takeba_yukari,10
aila_jyrkiainen,10
anemone_(eureka_seven),10
sairenji_haruna,10
gumi megpoid_(vocaloid3),10
